lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,1,1,turn_right,stop,opposite_direction,1,0,1,0,0,1,1,22.62928,0.0,15.51571,normal,collision
3,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,80.00056,6.318066,25.14451,easy,danger
2,0,1,reverse,straight,opposite_direction,0,0,1,0,0,0,1,20.01297,0.9260073,7.222858,normal,danger
3,1,1,stop,turn_right,same_direction,0,0,0,0,0,0,0,30.55348,1.124411,3.650496,easy,warning
1,0,0,straight,stop,same_direction,0,0,0,0,0,0,0,15.43105,8.068768,10.37181,normal,warning
1,1,1,turn_right,turn_right,same_direction,0,0,0,0,0,1,1,9.080123,2.608659,25.61346,hard,warning
4,1,0,turn left,turn left,opposite_direction,0,0,1,1,0,1,1,30.00037,3.114797,1.597061,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,20.0,4.729805,43.20142,hard,warning
2,1,0,reverse,turn_right,from_right,0,0,1,1,1,1,1,26.19289,0.1914828,7.206856,easy,danger
1,0,1,straight,turn_right,from_left,0,0,0,0,0,0,0,32.68312,6.028672,3.406171,hard,warning
3,1,1,straight,stop,same_direction,0,0,0,0,0,1,1,6.800072,4.920406,27.60656,hard,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,25.00322,4.84027,8.132678,hard,warning
1,1,1,turn left,turn left,same_direction,0,0,1,0,0,1,1,0.0001628592,7.93669,13.49107,hard,warning
2,1,1,turn left,turn_right,from_left,0,0,0,0,0,0,0,50.00001,6.861067,8.519126,normal,warning
1,0,1,reverse,straight,opposite_direction,1,0,0,0,0,0,1,50.00001,1.937342,4.811417,hard,danger
1,0,1,straight,stop,same_direction,1,0,0,0,0,0,1,9.251175e-05,6.183412,26.80957,easy,warning
1,1,1,straight,stop,from_right,0,1,0,0,0,1,1,9.385017e-05,4.460152,14.2429,easy,warning
1,1,1,stop,straight,from_left,1,0,1,0,0,0,1,6.72016,6.487751,0.8502198,hard,warning
2,1,0,turn left,turn left,opposite_direction,0,1,1,0,0,0,1,30.00023,1.506425,18.24195,normal,danger
